Name,Location,Country,Brand,Sources,Rel_Score,Strat_Score,Asset_Score,Market_Score,Edit_Score
"Mandarin Oriental Hyde Park","London","United Kingdom","Mandarin Oriental","Forbes 5-Star",,,,,
"Mandarin Oriental Mayfair","London","United Kingdom","Mandarin Oriental","DMW London Watchlist",,,,,
"Mandarin Oriental Ritz Madrid","Madrid","Spain","Mandarin Oriental","Michelin Keys",,,,,
"Mandarin Oriental Savoy, Zurich","Zurich","Switzerland","Mandarin Oriental","DMW Zurich Watchlist",,,,,
"Meadowood","Napa Valley","USA","Independent","Michelin Keys",,,,,
"Nihi Sumba","Sumba Island","Indonesia","Nihi","Worlds 50 Best",,,,,
"Nine Orchard","New York","USA","Independent","DMW New York Watchlist",,,,,
"NoMad London","London","United Kingdom","NoMad","DMW London Watchlist, Worlds 50 Best",,,,,
"One Hundred Shoreditch","London","United Kingdom","Independent","DMW London Watchlist",,,,,
"One&Only Mandarina","Riviera Nayarit","Mexico","One&Only","Worlds 50 Best",,,,,
"One&Only Reethi Rah","Maldives","Maldives","One&Only","Luxury Flagships",,,,,
"Park Hyatt Zurich","Zurich","Switzerland","Park Hyatt","DMW Zurich Watchlist",,,,,
"Passalacqua","Lake Como","Italy","Independent","Worlds 50 Best",,,,,
"Plaza Athénée","Paris","France","Dorchester Collection","Michelin Keys",,,,,
"Post Ranch Inn","Big Sur","USA","Independent","Michelin Keys",,,,,
"Public Hotel","New York","USA","Ian Schrager","DMW New York Watchlist",,,,,
"Raffles London at The OWO","London","United Kingdom","Raffles","DMW London Watchlist",,,,,
"Raffles Singapore","Singapore","Singapore","Raffles","Luxury Flagships, Worlds 50 Best",,,,,
"Ritz Paris","Paris","France","Independent","Michelin Keys",,,,,
"Rosewood Castiglion del Bosco","Montalcino","Italy","Rosewood","Worlds 50 Best",,,,,
"Rosewood Hong Kong","Hong Kong","Hong Kong","Rosewood","Luxury Flagships, Worlds 50 Best",,,,,
"Rosewood London","London","United Kingdom","Rosewood","DMW London Watchlist, Luxury Flagships",,,,,
"Rosewood Mayakoba","Riviera Maya","Mexico","Rosewood","La Liste Top 1000",,,,,
"Rosewood São Paulo","São Paulo","Brazil","Rosewood","Worlds 50 Best",,,,,
"Royal Mansour","Marrakech","Morocco","Independent","Michelin Keys, Worlds 50 Best",,,,,
"Ruby Mimi Hotel Zurich","Zurich","Switzerland","Ruby Hotels","DMW Zurich Watchlist",,,,,
"RuMa Hotel and Residences","Kuala Lumpur","Malaysia","Urban Resort Concepts","Worlds 50 Best",,,,,
"Singita Lodges Kruger National Park","Kruger National Park","South Africa","Singita","Worlds 50 Best",,,,,
"Six Senses Douro Valley","Douro Valley","Portugal","Six Senses","Luxury Flagships",,,,,
"Six Senses Ibiza","Ibiza","Spain","Six Senses","Worlds 50 Best",,,,,
"Six Senses Rome","Rome","Italy","Six Senses","AHEAD Awards",,,,,
"Soneva Fushi","Maldives","Maldives","Soneva","Luxury Flagships, Worlds 50 Best",,,,,
"Soneva Jani","Maldives","Maldives","Soneva","Worlds 50 Best",,,,,
"St Martins Lane","London","United Kingdom","Independent","DMW London Watchlist, DMW Flagship Research",,,,,
"Storchen Zürich","Zurich","Switzerland","The Living Circle","DMW Zurich Watchlist",,,,,
"Taj Mahal Palace","Mumbai","India","Taj","La Liste Top 1000",,,,,
"The Athenaeum Hotel & Residences","London","United Kingdom","Independent","DMW London Watchlist",,,,,
"The Beaumont Mayfair","London","United Kingdom","Independent","DMW London Watchlist",,,,,
"The Beekman, A Thompson Hotel","New York","USA","Thompson","DMW New York Watchlist",,,,,
"The Berkeley","London","United Kingdom","Maybourne","DMW London Watchlist",,,,,
"The Beverly Hills Hotel","Los Angeles","USA","Dorchester Collection","Michelin Keys",,,,,
"The BoTree","London","United Kingdom","Independent","DMW London Watchlist",,,,,
"The Bowery Hotel","New York","USA","Independent","DMW New York Watchlist",,,,,
"The Brando","Tetiaroa","French Polynesia","Independent","Worlds 50 Best",,,,,
"The Broadmoor","Colorado Springs","USA","Independent","Forbes 5-Star",,,,,
"The Cadogan, A Belmond Hotel","London","United Kingdom","Belmond","DMW London Watchlist",,,,,
"The Calile","Brisbane","Australia","Independent","Worlds 50 Best",,,,,
"The Carlton Tower Jumeirah","London","United Kingdom","Jumeirah","DMW London Watchlist",,,,,
"The Carlyle","New York","USA","Rosewood","Luxury Flagships",,,,,
"The Carlyle, A Rosewood Hotel","New York","USA","Rosewood","DMW New York Watchlist",,,,,
"The Chatwal, New York","New York","USA","The Luxury Collection","DMW New York Watchlist",,,,,
"The Chedi Andermatt","Andermatt","Switzerland","GHM","DMW Zurich Watchlist",,,,,
"The Connaught","London","United Kingdom","Maybourne","DMW London Watchlist, La Liste Top 1000, Luxury Flagships, Michelin Keys, Worlds 50 Best",,,,,
"The Corinthia London","London","United Kingdom","Corinthia","DMW London Watchlist",,,,,
"The Dolder Grand","Zurich","Switzerland","Independent","DMW Zurich Watchlist",,,,,
"The Dominick","New York","USA","Independent","DMW New York Watchlist",,,,,
"The Dorchester","London","United Kingdom","Dorchester Collection","DMW London Watchlist, Forbes 5-Star",,,,,
"The Emory","London","United Kingdom","Maybourne","DMW London Watchlist",,,,,
"The Fifth Avenue Hotel","New York","USA","Independent","AHEAD Awards, DMW New York Watchlist",,,,,
"The Four Seasons Hotel New York","New York","USA","Four Seasons","DMW New York Watchlist",,,,,
"The Goring","London","United Kingdom","Independent","DMW London Watchlist, La Liste Top 1000",,,,,
"The Greenwich Hotel","New York","USA","Independent","DMW New York Watchlist",,,,,
"The Gritti Palace","Venice","Italy","The Luxury Collection","La Liste Top 1000",,,,,
"The Hari","London","United Kingdom","Independent","DMW London Watchlist",,,,,
"The Henrietta Hotel","London","United Kingdom","Experimental Group","DMW London Watchlist",,,,,
"The Home Hotel Zürich","Zurich","Switzerland","Design Hotels","DMW Zurich Watchlist",,,,,
"The Hotel Chelsea","New York","USA","Independent","DMW New York Watchlist",,,,,
"The Hoxton, Holborn","London","United Kingdom","Ennismore","DMW London Watchlist",,,,,
"The James New York NoMad","New York","USA","The James","DMW New York Watchlist",,,,,
"The Kensington","London","United Kingdom","The Doyle Collection","DMW London Watchlist",,,,,
"The Lanesborough","London","United Kingdom","Oetker Collection","DMW London Watchlist",,,,,
"The Langham, London","London","United Kingdom","Langham","DMW London Watchlist",,,,,
"The Langham, New York, Fifth Avenue","New York","USA","Langham","DMW New York Watchlist",,,,,
"The London EDITION","London","United Kingdom","EDITION","DMW London Watchlist, Luxury Flagships",,,,,
"The London, A Luxury Collection Hotel, New York City","New York","USA","The Luxury Collection","DMW New York Watchlist",,,,,
"The Londoner","London","United Kingdom","Edwardian Hotels","DMW London Watchlist",,,,,
"The Lowell","New York","USA","Independent","DMW New York Watchlist",,,,,
"The Ludlow Hotel","New York","USA","Independent","DMW New York Watchlist",,,,,
"The Mandrake","London","United Kingdom","Independent","DMW London Watchlist",,,,,
"The Manner","New York","USA","Independent","DMW New York Watchlist",,,,,
"The Mark","New York","USA","Independent","DMW New York Watchlist",,,,,
"The Marlton","New York","USA","Independent","DMW New York Watchlist",,,,,
"The May Fair, A Radisson Collection Hotel","London","United Kingdom","Radisson Collection","DMW London Watchlist",,,,,
"The Maybourne Riviera","Roquebrune-Cap-Martin","France","Maybourne","Worlds 50 Best",,,,,
"The Mercer","New York","USA","Independent","DMW New York Watchlist",,,,,
"The Miami Beach EDITION","Miami","USA","Edition","Luxury Flagships",,,,,
"The Ned","London","United Kingdom","Soho House","DMW London Watchlist",,,,,
"The Ned NoMad","New York","USA","Soho House","DMW New York Watchlist",,,,,
"The New York EDITION","New York","USA","EDITION","DMW New York Watchlist",,,,,
"The Newt in Somerset","Bruton","United Kingdom","Independent","Worlds 50 Best",,,,,
"The Peninsula Beverly Hills","Los Angeles","USA","Peninsula","Forbes 5-Star",,,,,
"The Peninsula Chicago","Chicago","USA","Peninsula","La Liste Top 1000",,,,,
"The Peninsula Hong Kong","Hong Kong","Hong Kong","Peninsula","Luxury Flagships",,,,,
"The Peninsula London","London","United Kingdom","The Peninsula","DMW London Watchlist",,,,,
"The Peninsula New York","New York","USA","The Peninsula","DMW New York Watchlist",,,,,
"The Peninsula Paris","Paris","France","Peninsula","Luxury Flagships",,,,,
"The Peninsula Shanghai","Shanghai","China","Peninsula","La Liste Top 1000",,,,,
"The Peninsula Tokyo","Tokyo","Japan","Peninsula","Forbes 5-Star",,,,,
"The Plaza","New York","USA","Fairmont","DMW New York Watchlist",,,,,
"The Refinery Hotel","New York","USA","Independent","DMW New York Watchlist",,,,,
"The Ritz London","London","United Kingdom","Independent","DMW London Watchlist",,,,,
"The Ritz-Carlton New York, Central Park","New York","USA","The Ritz-Carlton","DMW New York Watchlist",,,,,
"The Ritz-Carlton New York, NoMad","New York","USA","The Ritz-Carlton","DMW New York Watchlist",,,,,
"The Ritz-Carlton, Kyoto","Kyoto","Japan","Ritz-Carlton","Forbes 5-Star",,,,,
"The Roxy Hotel","New York","USA","Independent","DMW New York Watchlist",,,,,
"The Savoy","London","United Kingdom","Fairmont","DMW London Watchlist, Forbes 5-Star, La Liste Top 1000, Michelin Keys, Worlds 50 Best",,,,,
"The Siam","Bangkok","Thailand","Independent","Worlds 50 Best",,,,,
"The St. Regis Bal Harbour","Miami","USA","St. Regis","Forbes 5-Star",,,,,
"The St. Regis New York","New York","USA","St. Regis","DMW New York Watchlist",,,,,
"The Stafford London","London","United Kingdom","Independent","DMW London Watchlist",,,,,
"The Standard High Line","New York","USA","The Standard","DMW New York Watchlist",,,,,
"The Standard, East Village","New York","USA","The Standard","DMW New York Watchlist",,,,,
"The Standard, Ibiza","Ibiza","Spain","The Standard","AHEAD Awards",,,,,
"The Standard, London","London","United Kingdom","The Standard","DMW London Watchlist",,,,,
"The Surrey, A Corinthia Hotel","New York","USA","Corinthia","DMW New York Watchlist",,,,,
"The Times Square EDITION","New York","USA","EDITION","DMW New York Watchlist",,,,,
"The Twenty Two","London","United Kingdom","Independent","DMW London Watchlist",,,,,
"The Twenty Two New York","New York","USA","Independent","DMW New York Watchlist",,,,,
"The Upper House","Hong Kong","Hong Kong","The House Collective","Worlds 50 Best",,,,,
"The Wall Street Hotel","New York","USA","Independent","DMW New York Watchlist",,,,,
"The Whitby Hotel","New York","USA","Firmdale","DMW New York Watchlist",,,,,
"The William Vale","New York","USA","Independent","DMW New York Watchlist",,,,,
"The Zetter Clerkenwell","London","United Kingdom","Independent","DMW London Watchlist",,,,,
"Villa d'Este","Lake Como","Italy","Independent","Michelin Keys",,,,,
"Villa Florhof by Lalique","Zurich","Switzerland","Lalique","DMW Zurich Watchlist",,,,,
"Waldorf Astoria Beverly Hills","Los Angeles","USA","Waldorf Astoria","Forbes 5-Star",,,,,
"Widder Hotel","Zurich","Switzerland","The Living Circle","DMW Zurich Watchlist",,,,,
"Wynn Macau","Macau","Macau","Wynn","Forbes 5-Star",,,,,
"Shangri-La Paris","Paris","France","Shangri-La","DMW Paris Watchlist",,,,,
"Mandarin Oriental, Paris","Paris","France","Mandarin Oriental","DMW Paris Watchlist",,,,,
"Saint James Paris","Paris","France","Relais & Châteaux","DMW Paris Watchlist",,,,,
"J.K. Place Paris","Paris","France","J.K. Place","DMW Paris Watchlist",,,,,
"Hôtel Lutetia","Paris","France","The Set Collection","DMW Paris Watchlist",,,,,
"Hôtel Barrière Le Fouquet’s Paris","Paris","France","Barrière","DMW Paris Watchlist",,,,,
"Prince de Galles, a Luxury Collection Hotel","Paris","France","The Luxury Collection","DMW Paris Watchlist",,,,,
"Maison Delano Paris","Paris","France","Maison Delano","DMW Paris Watchlist",,,,,
"Le Grand Mazarin","Paris","France","Maisons Pariente","DMW Paris Watchlist",,,,,
"Hôtel Balzac","Paris","France","Independent","DMW Paris Watchlist",,,,,
"Hôtel Dame des Arts","Paris","France","Independent","DMW Paris Watchlist",,,,,
"Hôtel Madame Rêve","Paris","France","Independent","DMW Paris Watchlist",,,,,
"Hôtel Costes","Paris","France","Independent","DMW Paris Watchlist",,,,,
"So/ Paris","Paris","France","Ennismore","DMW Paris Watchlist",,,,,
"Bus Palladium","Paris","France","Independent","DMW One to Watch",,,,,
"Grand Hotel Tremezzo","Lake Como","Italy","Independent","DMW Lakes Watchlist",,,,,
"Mandarin Oriental, Lago di Como","Lake Como","Italy","Mandarin Oriental","DMW Lakes Watchlist",,,,,
"Il Sereno Lago di Como","Lake Como","Italy","Independent","DMW Lakes Watchlist",,,,,
"Grand Hotel Victoria Concept & Spa","Lake Como","Italy","R Collection","DMW Lakes Watchlist",,,,,
"Grand Hotel Villa Serbelloni","Lake Como","Italy","Independent","DMW Lakes Watchlist",,,,,
"Villa Lario Resort Mandello","Lake Como","Italy","Independent","DMW Lakes Watchlist",,,,,
"MUSA Lago di Como","Lake Como","Italy","Independent","DMW Lakes Watchlist",,,,,
"Villa Pliniana","Lake Como","Italy","Sereno Hotels","DMW Lakes Watchlist",,,,,
"Vista Lago di Como","Lake Como","Italy","Lario Hotels","DMW Lakes Watchlist",,,,,
"The Lake Como EDITION","Lake Como","Italy","EDITION","DMW One to Watch",,,,,
"Villa Feltrinelli","Lake Garda","Italy","Independent","DMW Lakes Watchlist",,,,,
"Lefay Resort & SPA Lago di Garda","Lake Garda","Italy","Lefay Resorts","DMW Lakes Watchlist",,,,,
"Cape of Senses","Lake Garda","Italy","Independent","DMW Lakes Watchlist",,,,,
"Grand Hotel Fasano","Lake Garda","Italy","Independent","DMW Lakes Watchlist",,,,,
"EALA My Lakeside Dream","Lake Garda","Italy","Independent","DMW Lakes Watchlist",,,,,
"Lido Palace","Lake Garda","Italy","Independent","DMW Lakes Watchlist",,,,,
"Quellenhof Luxury Resort Lazise","Lake Garda","Italy","Quellenhof","DMW Lakes Watchlist",,,,,
"Grand Hotel Gardone","Lake Garda","Italy","Independent","DMW Lakes Watchlist",,,,,
"Grand Hotel des Iles Borromées & SPA","Lake Maggiore","Italy","Independent","DMW Lakes Watchlist",,,,,
"Villa & Palazzo Aminta","Lake Maggiore","Italy","Independent","DMW Lakes Watchlist",,,,,
"Hotel La Palma, Stresa","Lake Maggiore","Italy","Independent","DMW Lakes Watchlist",,,,,
"Eden Roc Ascona","Ascona","Switzerland","Tschuggen Collection","DMW Lakes Watchlist",,,,,
"Hotel Giardino Ascona","Ascona","Switzerland","Giardino Group","DMW Lakes Watchlist",,,,,
"Castello del Sole, Ascona","Ascona","Switzerland","The Living Circle","DMW Lakes Watchlist",,,,,
"Villa Principe Leopoldo","Lugano","Switzerland","Ticino Hotels Group","DMW Lakes Watchlist",,,,,
"The View Lugano","Lugano","Switzerland","Independent","DMW Lakes Watchlist",,,,,
"L’Albereta Relais & Châteaux","Franciacorta","Italy","Terra Moretti","DMW Lakes Watchlist",,,,,
"Villa Crespi","Lake Orta","Italy","Independent","DMW Lakes Watchlist",,,,,
"Casa Fantini / Lake Time","Lake Orta","Italy","Independent","DMW Lakes Watchlist",,,,,
"Grand Hotel Villa Castagnola","Lugano","Switzerland","Independent","DMW Lakes Watchlist",,,,,
"Hotel Splendide Royal","Lugano","Switzerland","Roberto Naldi","DMW Lakes Watchlist",,,,,
"Palazzo Venezia, Como","Lake Como","Italy","Independent","DMW One to Watch",,,,,
"Ritz-Carlton Bellagio","Lake Como","Italy","Ritz-Carlton","DMW One to Watch",,,,,
"The Chancery Rosewood","London","United Kingdom","Rosewood","DMW London Watchlist",,,,,
"45 Park Lane","London","United Kingdom","Dorchester Collection","DMW London Watchlist, Forbes 5-Star",,,,,
"Four Seasons Hotel London at Ten Trinity Square","London","United Kingdom","Four Seasons","DMW London Watchlist, Michelin Keys",,,,,
"Hotel Café Royal","London","United Kingdom","The Set Collection","DMW London Watchlist",,,,,
"Chiltern Firehouse","London","United Kingdom","Independent","DMW London Watchlist, Lifestyle Flagships",,,,,
"Ham Yard Hotel","London","United Kingdom","Firmdale","DMW London Watchlist",,,,,
"The Landmark London","London","United Kingdom","Independent","DMW London Watchlist",,,,,
"One Aldwych","London","United Kingdom","Independent","DMW London Watchlist",,,,,
"L'oscar London","London","United Kingdom","Independent","DMW London Watchlist",,,,,
"Beaverbrook Town House","London","United Kingdom","Beaverbrook","DMW London Watchlist",,,,,
"The Prince Akatoki London","London","United Kingdom","Independent","DMW London Watchlist, Forbes 5-Star",,,,,
"The Biltmore Mayfair, LXR Hotels & Resorts","London","United Kingdom","Hilton LXR","DMW London Watchlist",,,,,
"Montcalm Mayfair, Autograph Collection","London","United Kingdom","Autograph Collection","DMW London Watchlist",,,,,
"The Bloomsbury","London","United Kingdom","The Doyle Collection","DMW London Watchlist",,,,,
"The Soho Hotel","London","United Kingdom","Firmdale","DMW London Watchlist",,,,,
"Covent Garden Hotel","London","United Kingdom","Firmdale","DMW London Watchlist",,,,,
"Charlotte Street Hotel","London","United Kingdom","Firmdale","DMW London Watchlist",,,,,
"Haymarket Hotel","London","United Kingdom","Firmdale","DMW London Watchlist",,,,,
"Number Sixteen","London","United Kingdom","Firmdale","DMW London Watchlist",,,,,
"Knightsbridge Hotel","London","United Kingdom","Firmdale","DMW London Watchlist",,,,,
"Dorset Square Hotel","London","United Kingdom","Firmdale","DMW London Watchlist",,,,,
"Great Scotland Yard Hotel","London","United Kingdom","Hyatt","DMW London Watchlist",,,,,
"St Pancras London, Autograph Collection","London","United Kingdom","Autograph Collection","DMW London Watchlist",,,,,
"Andaz London Liverpool Street","London","United Kingdom","Andaz","DMW London Watchlist",,,,,
"London Marriott Hotel Park Lane","London","United Kingdom","Marriott","DMW London Watchlist",,,,,
"Park Hyatt London River Thames","London","United Kingdom","Park Hyatt","DMW London Watchlist",,,,,
"The Guardsman","London","United Kingdom","Independent","DMW London Watchlist",,,,,
"The Wellesley, a Luxury Collection Hotel","London","United Kingdom","Luxury Collection","DMW London Watchlist",,,,,
"The Milestone Hotel & Residences","London","United Kingdom","Red Carnation","DMW London Watchlist",,,,,
"11 Cadogan Gardens","London","United Kingdom","Iconic Luxury Hotels","DMW London Watchlist",,,,,
"The Woodward, Auberge Collection","Geneva","Switzerland","Auberge Resorts","DMW Geneva Watchlist",,,,,
"Four Seasons Hotel des Bergues Geneva","Geneva","Switzerland","Four Seasons","DMW Geneva Watchlist, Michelin Keys",,,,,
"Beau-Rivage Genève","Geneva","Switzerland","Independent","DMW Geneva Watchlist",,,,,
"The Ritz-Carlton Hotel de la Paix, Geneva","Geneva","Switzerland","Ritz-Carlton","DMW Geneva Watchlist",,,,,
"Hotel d'Angleterre","Geneva","Switzerland","Red Carnation","DMW Geneva Watchlist",,,,,
"Mandarin Oriental, Geneva","Geneva","Switzerland","Mandarin Oriental","DMW Geneva Watchlist",,,,,
"La Réserve Genève Hotel, Spa and Villas","Geneva","Switzerland","La Réserve","DMW Geneva Watchlist",,,,,
"Hôtel President Wilson, a Luxury Collection Hotel","Geneva","Switzerland","Luxury Collection","DMW Geneva Watchlist",,,,,
"Hôtel Métropole Genève","Geneva","Switzerland","Independent","DMW Geneva Watchlist",,,,,
"Hôtel de la Cigogne","Geneva","Switzerland","Relais & Châteaux","DMW Geneva Watchlist",,,,,
"Hôtel Les Armures","Geneva","Switzerland","Independent","DMW Geneva Watchlist",,,,,
"Swiss Luxury Apartments","Geneva","Switzerland","Independent","DMW Geneva Watchlist",,,,,
"Beau-Rivage Palace","Lausanne","Switzerland","Independent","DMW Switzerland Watchlist, Luxury Flagships, Michelin Keys",,,,,
"Lausanne Palace","Lausanne","Switzerland","Leading Hotels of the World","DMW Switzerland Watchlist",,,,,
"Royal Savoy Hotel & Spa Lausanne","Lausanne","Switzerland","Bürgenstock Selection","DMW Switzerland Watchlist",,,,,
"Jiva Hill Resort","Crozet","France","Independent","DMW Geneva Watchlist",,,,,
"Domaine de Divonne","Divonne-les-Bains","France","Independent","DMW Geneva Watchlist",,,,,
"Château des Avenières","Cruseilles","France","Independent","DMW Geneva Watchlist",,,,,
"Kulm Hotel St. Moritz","St. Moritz","Switzerland","Independent","DMW Swiss Alps Watchlist",,,,,
